trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-53.04659358774236,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-116.45707032674528,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,12,-2.9095019787601384,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-152.32471462381176,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-127.82872251457852,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-107.03127122552276,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-360.514667095864,"{0: 15, 1: 5, 2: 5, 3: 5, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-90.96646405959378,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-28.48565210619759,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,9,-33.241441771730074,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-50.95950499314383,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,18,-66.22267856419292,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-129.90320185231852,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-43.62342313653843,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-42.47268470740717,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,23.398924896810577,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,15,16.43395717923424,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,9,-32.19866537477288,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,16,5.357219665589312,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,5.230213609814225,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,2,-107.31165330894686,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,0,-75.7855780077463,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,12,-38.527877170139824,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-45.89861884937885,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,15,-2.9196621243316576,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,2,-57.62695783094593,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",20,0,-8.529013972474427,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,16,-16.94254763063705,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,10,-36.18281192738642,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,15,7.464693297722889,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
