trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",25,0,-126.88824012506726,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.6, 'e': 0.9900498337491681}",20,12,-18.531805676509286,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.9801986733067553}",25,0,-112.8858307589519,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.9704455335485082}",20,0,-107.23395792415728,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.9607894391523232}",20,0,-78.98020494984864,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.951229424500714}",20,0,-81.15295893552256,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.9417645335842487}",20,0,2.068085918819506,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.9323938199059483}",20,0,-45.5697602353066,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.9231163463866358}",20,0,-145.35987157042985,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.6, 'e': 0.9139311852712282}",25,0,-119.25881825461842,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.9048374180359595}",30,0,-123.49755672610053,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.6, 'e': 0.8958341352965282}",20,14,11.691543430025423,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.8869204367171575}",25,0,-147.1919703476404,"{0: 11, 1: 2, 2: 11, 3: 0, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.8780954309205613}",30,0,-136.8709639556307,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.8693582353988059}",20,0,-76.93942221199795,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.8607079764250578}",20,0,-120.68346908955759,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.6, 'e': 0.8521437889662113}",30,6,-87.37057371949885,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 1}",1
18,False,"{'a': 0.6, 'e': 0.8436648165963837}",25,0,-166.21829217371192,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.835270211411272}",25,0,-81.29324564162162,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.8269591339433623}",25,0,-81.86126660982782,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.8187307530779818}",30,0,-75.06783388301903,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.6, 'e': 0.8105842459701871}",20,0,-17.122229912594204,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.6, 'e': 0.8025187979624785}",25,0,-73.41784380528993,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.6, 'e': 0.794533602503334}",20,0,-81.95830250910612,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
25,False,"{'a': 0.6, 'e': 0.7866278610665535}",20,0,-75.98144085539093,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.6, 'e': 0.7788007830714049}",30,0,-177.75253456361753,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
27,False,"{'a': 0.6, 'e': 0.7710515858035663}",20,0,-39.08983145804274,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
28,False,"{'a': 0.6, 'e': 0.7633794943368531}",20,0,-70.89233742627559,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.6, 'e': 0.7557837414557255}",25,0,-154.3291708000214,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
30,False,"{'a': 0.6, 'e': 0.7482635675785653}",30,0,-186.6849060979647,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
31,False,"{'a': 0.6, 'e': 0.7408182206817179}",25,4,-17.038043039993934,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 0}",1
32,False,"{'a': 0.6, 'e': 0.7334469562242892}",20,0,-61.72762962848288,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.6, 'e': 0.7261490370736909}",20,0,-39.46657727539642,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.6, 'e': 0.7189237334319262}",30,0,-85.51388269483283,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.6, 'e': 0.7117703227626097}",25,0,-144.16713248713228,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
36,False,"{'a': 0.6, 'e': 0.7046880897187134}",30,0,-160.78635922739835,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
37,False,"{'a': 0.6, 'e': 0.697676326071031}",25,6,4.688186938360246,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.6907343306373547}",25,0,-11.527944703032706,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.6, 'e': 0.6838614092123558}",30,15,-44.94253255863824,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
40,False,"{'a': 0.6, 'e': 0.6770568744981647}",30,0,-87.71879017881271,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
41,False,"{'a': 0.6, 'e': 0.6703200460356393}",20,0,-132.35629971489337,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
42,False,"{'a': 0.6, 'e': 0.6636502501363194}",25,0,-198.10394763426723,"{0: 15, 1: 1, 2: 3, 3: 3, 4: 3}",0
43,False,"{'a': 0.6, 'e': 0.6570468198150567}",25,0,-156.83286177386316,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",1
44,False,"{'a': 0.6, 'e': 0.6505090947233165}",20,0,-66.3711930026157,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
45,False,"{'a': 0.6, 'e': 0.6440364210831414}",20,0,-46.05951677456022,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.6, 'e': 0.6376281516217733}",20,0,-10.930193791669081,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.6, 'e': 0.631283645506926}",25,0,-172.902252728342,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
48,False,"{'a': 0.6, 'e': 0.6250022682827008}",20,0,-16.2746332333419,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.6, 'e': 0.6187833918061408}",25,7,-42.80894088053472,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.6, 'e': 0.6126263941844161}",25,4,-92.78750451973971,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 1}",1
51,False,"{'a': 0.6, 'e': 0.6065306597126334}",25,15,7.809209562585993,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.6, 'e': 0.6004955788122659}",20,6,14.78480113361804,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
