trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,9,-45.412341006246564,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.76922182208386,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.81073678457693,"{0: 13, 1: 6, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.53110711571102,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.7198225550381,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.46415149642193,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.77279414131822,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.45279267932113,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.54444024859905,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.89953116058552,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-75.58934084413045,"{0: 17, 1: 6, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.76835724465037,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.00411706846845,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.48063352124555,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.60771744402565,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.94553245237086,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.047891039885,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.60527493607142,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.48332424468477,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-238.38308154213652,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,13,-5.7561265750342026,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.59714369413989,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,1,-41.039093417288285,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.57694341426885,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.73497363047726,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-118.40783058633924,"{0: 24, 1: 5, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.08624511769922,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.23007178240832,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-188.18174545623734,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-158.39763393622175,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
